Country names,RCT_ID,RCT_ID_duplicates,country,region_detail,continent,continent_region,country_count,region_count,is_multi_country,is_multi_region,is_online
Private,AEARCTR-0009102,AEARCTR-0009102,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009103,AEARCTR-0009103,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009105,AEARCTR-0009105,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009106,AEARCTR-0009106,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009108,AEARCTR-0009108,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009109,AEARCTR-0009109,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009110,AEARCTR-0009110,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
France (),AEARCTR-0009112,AEARCTR-0009112,France,No additional info,Europe,Western Europe,1,0,False,False,False
Private,AEARCTR-0009113,AEARCTR-0009113,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009115,AEARCTR-0009115,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009116,AEARCTR-0009116,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Germany (),AEARCTR-0009117,AEARCTR-0009117,Germany,No additional info,Europe,Western Europe,1,0,False,False,False
Private,AEARCTR-0009118,AEARCTR-0009118,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009120,AEARCTR-0009120,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Pakistan (South Asia),AEARCTR-0009121,AEARCTR-0009121,Pakistan,No additional info,Asia,South Asia,1,0,False,False,False
Private,AEARCTR-0009123,AEARCTR-0009123,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Philippines (),AEARCTR-0009124,AEARCTR-0009124,Philippines,No additional info,Asia,Southeast Asia,1,0,False,False,False
Peru (Lima),AEARCTR-0009125,AEARCTR-0009125,Peru,Lima,South America,South America,1,1,False,False,False
Private,AEARCTR-0009126,AEARCTR-0009126,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009128,AEARCTR-0009128,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009130,AEARCTR-0009130,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009131,AEARCTR-0009131,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009132,AEARCTR-0009132,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009134,AEARCTR-0009134,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009136,AEARCTR-0009136,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009138,AEARCTR-0009138,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
India (Jharkhand),AEARCTR-0009139,AEARCTR-0009139,India,Jharkhand,Asia,South Asia,1,1,False,False,False
Private,AEARCTR-0009140,AEARCTR-0009140,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009142,AEARCTR-0009142,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009143,AEARCTR-0009143,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009144,AEARCTR-0009144,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009145,AEARCTR-0009145,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009146,AEARCTR-0009146,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009148,AEARCTR-0009148,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009149,AEARCTR-0009149,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009150,AEARCTR-0009150,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009152,AEARCTR-0009152,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009153,AEARCTR-0009153,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009154,AEARCTR-0009154,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009155,AEARCTR-0009155,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Australia (),AEARCTR-0009157,AEARCTR-0009157,Australia,No additional info,Oceania,Oceania,1,0,False,False,False
Singapore (),AEARCTR-0009158,AEARCTR-0009158,Singapore,No additional info,Asia,Southeast Asia,1,0,False,False,False
Private,AEARCTR-0009159,AEARCTR-0009159,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009160,AEARCTR-0009160,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009163,AEARCTR-0009163,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009164,AEARCTR-0009164,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009165,AEARCTR-0009165,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
Private,AEARCTR-0009166,AEARCTR-0009166,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009168,AEARCTR-0009168,United States of America,No additional info,North America,North America,1,0,False,False,False
Uganda (),AEARCTR-0009169,AEARCTR-0009169,Uganda,No additional info,Africa,East Africa,1,0,False,False,False
Bangladesh (),AEARCTR-0009171,AEARCTR-0009171,Bangladesh,No additional info,Asia,South Asia,1,0,False,False,False
Private,AEARCTR-0009172,AEARCTR-0009172,Private,No additional info,Private/Confidential,Private/Confidential,1,0,False,False,False
United States of America (),AEARCTR-0009173,AEARCTR-0009173,United States of America,No additional info,North America,North America,1,0,False,False,False
